Informazioni cronologiche,Età,Genere,Occupazione,Settore,Titolo di studio,Sei a conoscenza del progetto Euro Digitale?,Conosci le criptovalute?,Quanto ti identifichi in quanto appena letto?,Quanto sei favorevole con quanto appena letto?,"Se potessi sapere chiaramente come lo Stato utilizza ogni singolo euro delle TUE tasse, come sarebbe la tua opinione rispetto alla risposta precedente?","Se potessi sapere chiaramente come lo Stato utilizza ogni singolo euro delle TUE tasse, saresti più d'accordo nel pagare le tasse?",Che tipo di funzionalità ti aspetti da un sistema come questo?,Cosa ti spaventerebbe/quali sono le tue preoccupazioni riguardo l’utilizzo di questo sistema?
03/11/2023 9.32.54,26 - 41 anni,Donna,Docente,Informatica,Dottorato,No,Si,Molto,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 9.33.20,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,Si,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 9.38.48,10 - 25 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,Si,Si,Abbastanza,Indifferente,Sarei più favorevole,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 9.43.32,42 - 57 anni,Uomo,"Impiegato, operaio, addetto",Customer care,Laurea,No,No,Molto,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro"
03/11/2023 9.47.15,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,No,Si,Abbastanza,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato",Ho paura che la mia privacy venga violata
03/11/2023 9.50.14,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,Si,Si,Molto,Sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato",Nessuna
03/11/2023 10.22.55,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Produzioni metalmeccaniche,Laurea,No,Si,Abbastanza,Molto sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 10.27.04,10 - 25 anni,Donna,Studente,Beni culturali,Laurea,Si,Si,Abbastanza,Indifferente,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 10.35.07,26 - 41 anni,Donna,Studente,Turismo alberghiero e ristorazione,Laurea,No,Si,Poco,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 10.35.40,10 - 25 anni,Uomo,Studente,Informatica,Diploma di scuola superiore,Si,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 10.36.39,26 - 41 anni,Uomo,Studente,Informatica,Laurea,Si,Si,Molto,Indifferente,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 10.37.38,10 - 25 anni,Uomo,"Impiegato, operaio, addetto",E-distribuzione,Diploma di scuola superiore,No,Si,Molto,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 10.38.59,10 - 25 anni,Uomo,Studente,Produzioni metalmeccaniche,Diploma di scuola superiore,No,Si,Abbastanza,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 10.42.16,10 - 25 anni,Uomo,Studente,Educazione e formazione,Diploma di scuola superiore,No,Si,Poco,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 10.43.26,26 - 41 anni,Uomo,Imprenditore,Informatica,Dottorato,Si,Si,Molto,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Un sistema che basa il suo funzionamento totalmente su disponibilità energetica e tendenzialmente su connettività è affidabile e disponibile in ogni momento?
03/11/2023 10.44.14,26 - 41 anni,Uomo,Studente,Informatica,Laurea,Si,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 10.52.33,58 - 76 anni,Uomo,Docente,Educazione e formazione,Dottorato,Si,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 10.53.12,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,No,Si,Abbastanza,Indifferente,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro"
03/11/2023 10.56.03,26 - 41 anni,Uomo,"Impiegato, operaio, addetto","Spettacolo, sport, benessere e cura della persona",Laurea,No,Si e ne posseggo alcune,Molto,Molto sfavorevole,La mia opinione non cambia,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 10.57.40,26 - 41 anni,Donna,Imprenditore,Servizi di consulenza professionale,Master,No,Si,Abbastanza,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 10.57.55,26 - 41 anni,Uomo,Libero professionista,Informatica,Dottorato,Si,Si,Molto,Sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 10.58.25,10 - 25 anni,Uomo,Studente,Informatica,Laurea,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 11.06.56,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Edilizia ed impiantistica,Licenza media,No,Si,Abbastanza,Indifferente,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 11.13.21,10 - 25 anni,Donna,Studente,Studi umanistici,Laurea,No,Si,Abbastanza,Molto favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 11.13.22,26 - 41 anni,Donna,Imprenditore,Servizi di consulenza professionale,Master,No,Si,Molto,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 11.14.03,10 - 25 anni,Uomo,Studente,Informatica,Laurea,No,Si,Abbastanza,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 11.14.34,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Produzioni metalmeccaniche,Diploma di scuola superiore,No,No,Poco,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 11.16.45,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Servizi di consulenza professionale,Diploma di scuola superiore,Si,Si,Abbastanza,Indifferente,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Nessuna paura particolare.
03/11/2023 11.20.11,10 - 25 anni,Uomo,"Impiegato, operaio, addetto",Servizi di consulenza professionale,Diploma di scuola superiore,No,Si e ne posseggo alcune,Molto,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 11.21.11,10 - 25 anni,Uomo,Studente,Informatica,Laurea,No,Si,Molto,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Nessuna paura
03/11/2023 11.23.30,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Forza armata,Master,No,Si,Abbastanza,Sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro"
03/11/2023 11.23.42,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Servizi di consulenza professionale,Laurea,Si,Si,Abbastanza,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 11.24.34,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Servizi di consulenza professionale,Master,No,No,Abbastanza,Indifferente,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 11.24.52,10 - 25 anni,Uomo,Studente,Informatica,Laurea,Si,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Niente
03/11/2023 11.25.17,58 - 76 anni,Donna,Pensionato,Servizi socio-sanitari,Licenza media,No,No,Poco,Molto sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 11.30.28,26 - 41 anni,Uomo,Studente,Gestionale,Laurea,No,No,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 11.35.48,26 - 41 anni,Donna,Studente,"Ambiente, ecologia e sicurezza ambientale",Laurea,Si,Si,Abbastanza,Indifferente,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 11.41.43,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Web Dev,Diploma di scuola superiore,No,Si e ne posseggo alcune,Molto,Molto sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Nulla
03/11/2023 11.50.49,26 - 41 anni,Uomo,Studente,Informatica,Laurea,No,Si,Abbastanza,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò), Tracciare cosa viene acquistato per il miglioramento dei servizi a cui vengono erogate le tasse da me pagate","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 11.51.05,10 - 25 anni,Uomo,Studente,Informatica,Diploma di scuola superiore,Si,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 11.52.29,42 - 57 anni,Donna,Imprenditore,Produzioni alimentari,Diploma di scuola superiore,No,Si,Molto,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Non credo possa danneggiarmi
03/11/2023 11.54.37,42 - 57 anni,Uomo,Quadro,Informatica,Dottorato,Si,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 11.57.41,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Diploma di scuola superiore,No,Si,Abbastanza,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 12.01.15,26 - 41 anni,Donna,Studente,Informatica,Diploma di scuola superiore,No,Si,Abbastanza,Sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura di subire furti di denaro, Ho paura di poter essere truffato in qualche modo"
03/11/2023 12.01.25,26 - 41 anni,Uomo,Studente,Patrimonio culturale,Laurea,No,Si,Molto,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di poter essere truffato in qualche modo"
03/11/2023 12.02.44,26 - 41 anni,Donna,"Impiegato, operaio, addetto","Comunicazione, pubblicità e pubbliche relazioni",Master,No,Si,Abbastanza,Sfavorevole,Sarei più favorevole,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
